"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.CHANGE_NETWORK_STATE","normal","change network connectivity","Allows applications to change network connectivity state.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        c30/c.java                                                                                                                                                                                                    com/tesla/TeslaV4/reactnative/module/NetInfoModule.java                                                                                                                                                                                                    h8/f.java                                                                                                                                                                                                    org/webrtc/NetworkMonitorAutoDetect.java"
"android.permission.CHANGE_WIFI_MULTICAST_STATE","normal","allow Wi-Fi Multicast reception","Allows an application to receive packets not directly addressed to your device. This can be useful when discovering services offered nearby. It uses more power than the non-multicast mode.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/tradle/react/UdpSockets.java                                                                                                                                                                                                    org/godotengine/godot/utils/GodotNetUtils.java                                                                                                                                                                                                    org/webrtc/NetworkMonitorAutoDetect.java"
"android.permission.CHANGE_WIFI_STATE","normal","change Wi-Fi status","Allows an application to connect to and disconnect from Wi-Fi access points and to make changes to configured Wi-Fi networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/tesla/TeslaV4/reactnative/module/NetInfoModule.java                                                                                                                                                                                                    org/webrtc/NetworkMonitorAutoDetect.java"
"android.permission.DOWNLOAD_WITHOUT_NOTIFICATION","unknown","Unknown permission","Unknown permission from android reference",""
"android.permission.FOREGROUND_SERVICE","normal","enables regular apps to use Service.startForeground.","Allows a regular application to use Service.startForeground.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/ReactNativeBlobUtil/g.java                                                                                                                                                                                                    com/oney/WebRTCModule/MediaProjectionService.java                                                                                                                                                                                                    com/reactnativecommunity/webview/l.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/BLEBootReceiver.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/BLEService.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/Peripheral.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/b.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/x.java                                                                                                                                                                                                    expo/modules/filesystem/FileSystemModule$definition$lambda$48$$inlined$AsyncFunctionWithPromise$15.java                                                                                                                                                                                                    expo/modules/location/services/LocationTaskService.java                                                                                                                                                                                                    expo/modules/location/taskConsumers/LocationTaskConsumer.java"
"android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE","normal","enables foreground services with connected device use.","Allows a regular application to use Service.startForeground with the type ""connectedDevice"".",""
"android.permission.HIGH_SAMPLING_RATE_SENSORS","normal","Access higher sampling rate sensor data","Allows an app to access sensor data with a sampling rate greater than 200 Hz.",""
"android.permission.INTERNET","normal","full Internet access","Allows an application to create network sockets.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            atd/d/getSDKAppID.java                                                                                                                                                                                                    atd/d/getSDKReferenceNumber.java                                                                                                                                                                                                    b80/c.java                                                                                                                                                                                                    bj/e.java                                                                                                                                                                                                    br/c.java                                                                                                                                                                                                    cb/c.java                                                                                                                                                                                                    cd0/d.java                                                                                                                                                                                                    cd0/e.java                                                                                                                                                                                                    ch/qos/logback/classic/net/SocketNode.java                                                                                                                                                                                                    ch/qos/logback/classic/net/SocketReceiver.java                                                                                                                                                                                                    ch/qos/logback/classic/net/server/RemoteAppenderStreamClient.java                                                                                                                                                                                                    ch/qos/logback/core/joran/GenericConfigurator.java                                                                                                                                                                                                    ch/qos/logback/core/joran/action/AbstractIncludeAction.java                                                                                                                                                                                                    ch/qos/logback/core/joran/action/IncludeAction.java                                                                                                                                                                                                    ch/qos/logback/core/joran/action/PropertyAction.java                                                                                                                                                                                                    ch/qos/logback/core/net/AbstractSocketAppender.java                                                                                                                                                                                                    ch/qos/logback/core/net/SyslogAppenderBase.java                                                                                                                                                                                                    ch/qos/logback/core/net/server/RemoteReceiverStreamClient.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/g.java                                                                                                                                                                                                    com/alipay/android/phone/mrpc/core/b.java                                                                                                                                                                                                    com/alipay/android/phone/mrpc/core/q.java                                                                                                                                                                                                    com/bumptech/glide/load/data/j.java                                                                                                                                                                                                    com/plaid/internal/nd.java                                                                                                                                                                                                    com/reactnativecommunity/slider/a.java                                                                                                                                                                                                    com/releaseprofiler/ReleaseProfilerModule.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    com/rnfs/c.java                                                                                                                                                                                                    com/rnfs/i.java                                                                                                                                                                                                    com/rnmaps/maps/MapTileWorker.java                                                                                                                                                                                                    com/rnmaps/maps/a.java                                                                                                                                                                                                    com/rnmaps/maps/p.java                                                                                                                                                                                                    com/tencent/mm/opensdk/channel/a/a.java                                                                                                                                                                                                    com/tencent/mm/opensdk/openapi/WXAPiSecurityHelper.java                                                                                                                                                                                                    com/tesla/TeslaV4/reactnative/module/NetInfoModule.java                                                                                                                                                                                                    com/tesla/oapi/auth/TeslaNetworkClient.java                                                                                                                                                                                                    com/withpersona/sdk/inquiry/network/NetworkModule.java                                                                                                                                                                                                    com/withpersona/sdk2/inquiry/network/NetworkModule.java                                                                                                                                                                                                    com/withpersona/sdk2/inquiry/shared/ui/ThemeableLottieAnimationView.java                                                                                                                                                                                                    cs/n.java                                                                                                                                                                                                    da/d.java                                                                                                                                                                                                    expo/modules/asset/AssetModule$downloadAsset$2.java                                                                                                                                                                                                    expo/modules/filesystem/FileSystemModule$definition$lambda$48$$inlined$AsyncFunctionWithPromise$15.java                                                                                                                                                                                                    expo/modules/filesystem/FileSystemModule$definition$lambda$48$$inlined$AsyncFunctionWithPromise$21.java                                                                                                                                                                                                    expo/modules/filesystem/FileSystemModule.java                                                                                                                                                                                                    fa/a.java                                                                                                                                                                                                    g20/e.java                                                                                                                                                                                                    gq/a.java                                                                                                                                                                                                    h8/f.java                                                                                                                                                                                                    io/sentry/SpotlightIntegration.java                                                                                                                                                                                                    io/sentry/internal/debugmeta/c.java                                                                                                                                                                                                    io/sentry/transport/o.java                                                                                                                                                                                                    jh/b.java                                                                                                                                                                                                    kd/a.java                                                                                                                                                                                                    kd/b.java                                                                                                                                                                                                    l10/a.java                                                                                                                                                                                                    m30/a.java                                                                                                                                                                                                    n10/j0.java                                                                                                                                                                                                    net/time4j/android/spi/AndroidResourceLoader.java                                                                                                                                                                                                    net/time4j/base/d.java                                                                                                                                                                                                    oc0/a.java                                                                                                                                                                                                    okio/j0.java                                                                                                                                                                                                    org/webrtc/NetworkMonitorAutoDetect.java                                                                                                                                                                                                    p001if/l1.java                                                                                                                                                                                                    p001if/r.java                                                                                                                                                                                                    pn/q.java                                                                                                                                                                                                    rv/b.java                                                                                                                                                                                                    tb/a.java                                                                                                                                                                                                    tb/b.java                                                                                                                                                                                                    v50/d.java                                                                                                                                                                                                    vh0/a.java                                                                                                                                                                                                    vw/f.java                                                                                                                                                                                                    vx/j.java                                                                                                                                                                                                    vx/x.java"
"android.permission.MODIFY_AUDIO_SETTINGS","normal","change your audio settings","Allows application to modify global audio settings, such as volume and routing.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/zmxv/RNSound/RNSoundModule.java                                                                                                                                                                                                    com/zxcpoiu/incallmanager/InCallManagerModule.java                                                                                                                                                                                                    org/webrtc/audio/JavaAudioDeviceModule.java                                                                                                                                                                                                    org/webrtc/audio/WebRtcAudioRecord.java                                                                                                                                                                                                    w70/e.java                                                                                                                                                                                                    wb0/e.java"
"android.permission.NFC","normal","control Near-Field Communication","Allows an application to communicate with Near-Field Communication (NFC) tags, cards and readers.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                com/fourthline/nfc/NfcScannerActivity.java                                                                                                                                                                                                    com/fourthline/nfc/NfcScannerComposableKt.java                                                                                                                                                                                                    com/fourthline/nfc/NfcScannerFragment.java                                                                                                                                                                                                    com/fourthline/nfc/internal/H0.java                                                                                                                                                                                                    com/fourthline/nfc/internal/J0.java                                                                                                                                                                                                    com/fourthline/orca/internal/Ml.java                                                                                                                                                                                                    community/revteltech/nfc/NfcManager.java                                                                                                                                                                                                    community/revteltech/nfc/d.java                                                                                                                                                                                                    community/revteltech/nfc/e.java                                                                                                                                                                                                    oh0/i.java"
"android.permission.POST_NOTIFICATIONS","dangerous","allows an app to post notifications.","Allows an app to post notifications","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/oney/WebRTCModule/u.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/BLEService.java                                                                                                                                                                                                    expo/modules/location/services/LocationTaskService.java                                                                                                                                                                                                    ob0/h.java"
"android.permission.READ_CALENDAR","dangerous","read calendar events","Allows an application to read all of the calendar events stored on your phone. Malicious applications can use this to send your calendar events to other people.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ce/c.java                                                                                                                                                                                                    com/reactnativedocumentpicker/RNDocumentPickerModule.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    com/tencent/mm/opensdk/openapi/BaseWXApiImplV10.java                                                                                                                                                                                                    com/tencent/mm/opensdk/openapi/MMSharedPreferences.java                                                                                                                                                                                                    expo/modules/calendar/CalendarModule.java                                                                                                                                                                                                    expo/modules/contacts/ContactsModule$definition$lambda$13$$inlined$AsyncFunction$9.java                                                                                                                                                                                                    expo/modules/contacts/ContactsModule.java                                                                                                                                                                                                    expo/modules/imagepicker/MediaHandler.java                                                                                                                                                                                                    expo/modules/medialibrary/MediaLibraryUtils.java                                                                                                                                                                                                    expo/modules/medialibrary/albums/migration/CheckIfAlbumShouldBeMigratedKt.java                                                                                                                                                                                                    expo/modules/medialibrary/assets/AssetUtilsKt.java                                                                                                                                                                                                    expo/modules/medialibrary/assets/GetAssets.java                                                                                                                                                                                                    g30/a.java                                                                                                                                                                                                    h1/d.java                                                                                                                                                                                                    r8/c.java                                                                                                                                                                                                    yf/e.java                                                                                                                                                                                                    z5/b.java                                                                                                                                                                                                    z5/d.java"
